dj,position,year
Le-Twins,8,2023
Pink-Panda,42,2011
Pink-Panda,15,2012
Pink-Panda,8,2013
Pink-Panda,10,2014
Pink-Panda,10,2015
Pink-Panda,7,2016
Pink-Panda,9,2017
Pink-Panda,11,2018
Pink-Panda,10,2019
Pink-Panda,9,2020
Pink-Panda,10,2021
Pink-Panda,7,2022
Pink-Panda,8,2023
KAKA,42,2011
KAKA,15,2012
KAKA,8,2013
KAKA,10,2014
KAKA,10,2015
KAKA,7,2016
KAKA,9,2017
KAKA,11,2018
KAKA,10,2019
KAKA,9,2020
KAKA,10,2021
KAKA,7,2022
KAKA,8,2023
Naeleck,42,2011
Naeleck,15,2012
Naeleck,8,2013
Naeleck,10,2014
Naeleck,10,2015
Naeleck,7,2016
Naeleck,9,2017
Naeleck,11,2018
Naeleck,10,2019
Naeleck,9,2020
Naeleck,10,2021
Naeleck,7,2022
Naeleck,8,2023
MARTEN-HØRGER,42,2011
MARTEN-HØRGER,15,2012
MARTEN-HØRGER,8,2013
MARTEN-HØRGER,10,2014
MARTEN-HØRGER,10,2015
MARTEN-HØRGER,7,2016
MARTEN-HØRGER,9,2017
MARTEN-HØRGER,11,2018
MARTEN-HØRGER,10,2019
MARTEN-HØRGER,9,2020
MARTEN-HØRGER,10,2021
MARTEN-HØRGER,7,2022
MARTEN-HØRGER,8,2023
Ferry-Corsten,42,2011
Ferry-Corsten,15,2012
Ferry-Corsten,8,2013
Ferry-Corsten,10,2014
Ferry-Corsten,10,2015
Ferry-Corsten,7,2016
Ferry-Corsten,9,2017
Ferry-Corsten,11,2018
Ferry-Corsten,10,2019
Ferry-Corsten,9,2020
Ferry-Corsten,10,2021
Ferry-Corsten,7,2022
Ferry-Corsten,8,2023
MORTEN,42,2011
MORTEN,15,2012
MORTEN,8,2013
MORTEN,10,2014
MORTEN,10,2015
MORTEN,7,2016
MORTEN,9,2017
MORTEN,11,2018
MORTEN,10,2019
MORTEN,9,2020
MORTEN,10,2021
MORTEN,7,2022
MORTEN,8,2023
Kölsch,42,2011
Kölsch,15,2012
Kölsch,8,2013
Kölsch,10,2014
Kölsch,10,2015
Kölsch,7,2016
Kölsch,9,2017
Kölsch,11,2018
Kölsch,10,2019
Kölsch,9,2020
Kölsch,10,2021
Kölsch,7,2022
Kölsch,8,2023
Rave-Republic,42,2011
Rave-Republic,15,2012
Rave-Republic,8,2013
Rave-Republic,10,2014
Rave-Republic,10,2015
Rave-Republic,7,2016
Rave-Republic,9,2017
Rave-Republic,11,2018
Rave-Republic,10,2019
Rave-Republic,9,2020
Rave-Republic,10,2021
Rave-Republic,7,2022
Rave-Republic,8,2023
Cuebrick,42,2011
Cuebrick,15,2012
Cuebrick,8,2013
Cuebrick,10,2014
Cuebrick,10,2015
Cuebrick,7,2016
Cuebrick,9,2017
Cuebrick,11,2018
Cuebrick,10,2019
Cuebrick,9,2020
Cuebrick,10,2021
Cuebrick,7,2022
Cuebrick,8,2023
Solomun,42,2011
Solomun,15,2012
Solomun,8,2013
Solomun,10,2014
Solomun,10,2015
Solomun,7,2016
Solomun,9,2017
Solomun,11,2018
Solomun,10,2019
Solomun,9,2020
Solomun,10,2021
Solomun,7,2022
Solomun,8,2023
Maddix,42,2011
Maddix,15,2012
Maddix,8,2013
Maddix,10,2014
Maddix,10,2015
Maddix,7,2016
Maddix,9,2017
Maddix,11,2018
Maddix,10,2019
Maddix,9,2020
Maddix,10,2021
Maddix,7,2022
Maddix,8,2023
Lizzy-Wang,42,2011
Lizzy-Wang,15,2012
Lizzy-Wang,8,2013
Lizzy-Wang,10,2014
Lizzy-Wang,10,2015
Lizzy-Wang,7,2016
Lizzy-Wang,9,2017
Lizzy-Wang,11,2018
Lizzy-Wang,10,2019
Lizzy-Wang,9,2020
Lizzy-Wang,10,2021
Lizzy-Wang,7,2022
Lizzy-Wang,8,2023
Indira-Paganotto,42,2011
Indira-Paganotto,15,2012
Indira-Paganotto,8,2013
Indira-Paganotto,10,2014
Indira-Paganotto,10,2015
Indira-Paganotto,7,2016
Indira-Paganotto,9,2017
Indira-Paganotto,11,2018
Indira-Paganotto,10,2019
Indira-Paganotto,9,2020
Indira-Paganotto,10,2021
Indira-Paganotto,7,2022
Indira-Paganotto,8,2023
Liu,42,2011
Liu,15,2012
Liu,8,2013
Liu,10,2014
Liu,10,2015
Liu,7,2016
Liu,9,2017
Liu,11,2018
Liu,10,2019
Liu,9,2020
Liu,10,2021
Liu,7,2022
Liu,8,2023
Le-Shuuk,42,2011
Le-Shuuk,15,2012
Le-Shuuk,8,2013
Le-Shuuk,10,2014
Le-Shuuk,10,2015
Le-Shuuk,7,2016
Le-Shuuk,9,2017
Le-Shuuk,11,2018
Le-Shuuk,10,2019
Le-Shuuk,9,2020
Le-Shuuk,10,2021
Le-Shuuk,7,2022
Le-Shuuk,8,2023
Jay-Hardway,42,2011
Jay-Hardway,15,2012
Jay-Hardway,8,2013
Jay-Hardway,10,2014
Jay-Hardway,10,2015
Jay-Hardway,7,2016
Jay-Hardway,9,2017
Jay-Hardway,11,2018
Jay-Hardway,10,2019
Jay-Hardway,9,2020
Jay-Hardway,10,2021
Jay-Hardway,7,2022
Jay-Hardway,8,2023
