dj,position,year
Oliver-Heldens,10,2015
Oliver-Heldens,7,2016
Oliver-Heldens,9,2017
Oliver-Heldens,11,2018
Oliver-Heldens,10,2019
Oliver-Heldens,9,2020
Oliver-Heldens,10,2021
Oliver-Heldens,7,2022
Oliver-Heldens,8,2023
FISHER,42,2011
FISHER,15,2012
FISHER,8,2013
FISHER,10,2014
FISHER,10,2015
FISHER,7,2016
FISHER,9,2017
FISHER,11,2018
FISHER,10,2019
FISHER,9,2020
FISHER,10,2021
FISHER,7,2022
FISHER,8,2023
GORDO,42,2011
GORDO,15,2012
GORDO,8,2013
GORDO,10,2014
GORDO,10,2015
GORDO,7,2016
GORDO,9,2017
GORDO,11,2018
GORDO,10,2019
GORDO,9,2020
GORDO,10,2021
GORDO,7,2022
GORDO,8,2023
Lost-Frequencies,42,2011
Lost-Frequencies,15,2012
Lost-Frequencies,8,2013
Lost-Frequencies,10,2014
Lost-Frequencies,10,2015
Lost-Frequencies,7,2016
Lost-Frequencies,9,2017
Lost-Frequencies,11,2018
Lost-Frequencies,10,2019
Lost-Frequencies,9,2020
Lost-Frequencies,10,2021
Lost-Frequencies,7,2022
Lost-Frequencies,8,2023
Tiësto,42,2011
Tiësto,15,2012
Tiësto,8,2013
Tiësto,10,2014
Tiësto,10,2015
Tiësto,7,2016
Tiësto,9,2017
Tiësto,11,2018
Tiësto,10,2019
Tiësto,9,2020
Tiësto,10,2021
Tiësto,7,2022
Tiësto,8,2023
Nicky-Romero,42,2011
Nicky-Romero,15,2012
Nicky-Romero,8,2013
Nicky-Romero,10,2014
Nicky-Romero,10,2015
Nicky-Romero,7,2016
Nicky-Romero,9,2017
Nicky-Romero,11,2018
Nicky-Romero,10,2019
Nicky-Romero,9,2020
Nicky-Romero,10,2021
Nicky-Romero,7,2022
Nicky-Romero,8,2023
Black-Coffee,42,2011
Black-Coffee,15,2012
Black-Coffee,8,2013
Black-Coffee,10,2014
Black-Coffee,10,2015
Black-Coffee,7,2016
Black-Coffee,9,2017
Black-Coffee,11,2018
Black-Coffee,10,2019
Black-Coffee,9,2020
Black-Coffee,10,2021
Black-Coffee,7,2022
Black-Coffee,8,2023
Carl-Cox,42,2011
Carl-Cox,15,2012
Carl-Cox,8,2013
Carl-Cox,10,2014
Carl-Cox,10,2015
Carl-Cox,7,2016
Carl-Cox,9,2017
Carl-Cox,11,2018
Carl-Cox,10,2019
Carl-Cox,9,2020
Carl-Cox,10,2021
Carl-Cox,7,2022
Carl-Cox,8,2023
Reinier-Zonneveld,42,2011
Reinier-Zonneveld,15,2012
Reinier-Zonneveld,8,2013
Reinier-Zonneveld,10,2014
Reinier-Zonneveld,10,2015
Reinier-Zonneveld,7,2016
Reinier-Zonneveld,9,2017
Reinier-Zonneveld,11,2018
Reinier-Zonneveld,10,2019
Reinier-Zonneveld,9,2020
Reinier-Zonneveld,10,2021
Reinier-Zonneveld,7,2022
Reinier-Zonneveld,8,2023
Vini-Vici,42,2011
Vini-Vici,15,2012
Vini-Vici,8,2013
Vini-Vici,10,2014
Vini-Vici,10,2015
Vini-Vici,7,2016
Vini-Vici,9,2017
Vini-Vici,11,2018
Vini-Vici,10,2019
Vini-Vici,9,2020
Vini-Vici,10,2021
Vini-Vici,7,2022
Vini-Vici,8,2023
Quintino,42,2011
Quintino,15,2012
Quintino,8,2013
Quintino,10,2014
Quintino,10,2015
Quintino,7,2016
Quintino,9,2017
Quintino,11,2018
Quintino,10,2019
Quintino,9,2020
Quintino,10,2021
Quintino,7,2022
Quintino,8,2023
Amelie-Lens,42,2011
Amelie-Lens,15,2012
Amelie-Lens,8,2013
Amelie-Lens,10,2014
Amelie-Lens,10,2015
Amelie-Lens,7,2016
Amelie-Lens,9,2017
Amelie-Lens,11,2018
Amelie-Lens,10,2019
Amelie-Lens,9,2020
Amelie-Lens,10,2021
Amelie-Lens,7,2022
Amelie-Lens,8,2023
Bassjackers,42,2011
Bassjackers,15,2012
Bassjackers,8,2013
Bassjackers,10,2014
Bassjackers,10,2015
Bassjackers,7,2016
Bassjackers,9,2017
Bassjackers,11,2018
Bassjackers,10,2019
Bassjackers,9,2020
Bassjackers,10,2021
Bassjackers,7,2022
Bassjackers,8,2023
Claptone,42,2011
Claptone,15,2012
Claptone,8,2013
Claptone,10,2014
Claptone,10,2015
Claptone,7,2016
Claptone,9,2017
Claptone,11,2018
Claptone,10,2019
Claptone,9,2020
Claptone,10,2021
Claptone,7,2022
Claptone,8,2023
Fedde-Le-Grand,42,2011
Fedde-Le-Grand,15,2012
Fedde-Le-Grand,8,2013
Fedde-Le-Grand,10,2014
Fedde-Le-Grand,10,2015
Fedde-Le-Grand,7,2016
Fedde-Le-Grand,9,2017
Fedde-Le-Grand,11,2018
Fedde-Le-Grand,10,2019
Fedde-Le-Grand,9,2020
Fedde-Le-Grand,10,2021
Fedde-Le-Grand,7,2022
Fedde-Le-Grand,8,2023
Fred-Again..,42,2011
Fred-Again..,15,2012
Fred-Again..,8,2013
Fred-Again..,10,2014
Fred-Again..,10,2015
Fred-Again..,7,2016
Fred-Again..,9,2017
Fred-Again..,11,2018
Fred-Again..,10,2019
Fred-Again..,9,2020
Fred-Again..,10,2021
Fred-Again..,7,2022
Fred-Again..,8,2023
Marshmello,42,2011
Marshmello,15,2012
Marshmello,8,2013
Marshmello,10,2014
Marshmello,10,2015
Marshmello,7,2016
Marshmello,9,2017
Marshmello,11,2018
Marshmello,10,2019
Marshmello,9,2020
Marshmello,10,2021
Marshmello,7,2022
Marshmello,8,2023
Jamie-Jones,42,2011
Jamie-Jones,15,2012
Jamie-Jones,8,2013
Jamie-Jones,10,2014
Jamie-Jones,10,2015
Jamie-Jones,7,2016
Jamie-Jones,9,2017
Jamie-Jones,11,2018
Jamie-Jones,10,2019
Jamie-Jones,9,2020
Jamie-Jones,10,2021
Jamie-Jones,7,2022
Jamie-Jones,8,2023
Hardwell,42,2011
Hardwell,15,2012
Hardwell,8,2013
Hardwell,10,2014
Hardwell,10,2015
Hardwell,7,2016
Hardwell,9,2017
Hardwell,11,2018
Hardwell,10,2019
Hardwell,9,2020
Hardwell,10,2021
Hardwell,7,2022
Hardwell,8,2023
DJ-Snake,42,2011
DJ-Snake,15,2012
DJ-Snake,8,2013
DJ-Snake,10,2014
DJ-Snake,10,2015
DJ-Snake,7,2016
DJ-Snake,9,2017
DJ-Snake,11,2018
DJ-Snake,10,2019
DJ-Snake,9,2020
DJ-Snake,10,2021
DJ-Snake,7,2022
DJ-Snake,8,2023
Eric-Prydz,42,2011
Eric-Prydz,15,2012
Eric-Prydz,8,2013
Eric-Prydz,10,2014
Eric-Prydz,10,2015
Eric-Prydz,7,2016
Eric-Prydz,9,2017
Eric-Prydz,11,2018
Eric-Prydz,10,2019
Eric-Prydz,9,2020
Eric-Prydz,10,2021
Eric-Prydz,7,2022
Eric-Prydz,8,2023
Above--Beyond,42,2011
Above--Beyond,15,2012
Above--Beyond,8,2013
Above--Beyond,10,2014
