Artista,Nome,Label,Playlists Plays,Track Position,Remix
Martin Garrix,High On Life,EPIC AMSTERDAM,533,01,n/a
Avicii & Sebastien Drums vs. Curbi & Mesto vs. Martin Garrix & Brooks,My Feelings For You vs. Bruh vs. Quantum,STMPD,17,02,Martin Garrix Mashup
Matisse & Sadko vs. Martin Garrix & Clinton Kane,Now Or Never vs. Drown,EPIC AMSTERDAM / STMPD,42,03,Martin Garrix Mashup
Martin Garrix & DubVision,Starlight (Keep Me Afloat),STMPD,316,04,n/a
Lewis Capaldi,Someone You Loved,VIRGIN,175,05,Martin Garrix Remix
Martin Garrix & Lloyiso,Real Love,STMPD,86,06,n/a
Martin Garrix vs. John Martin,Higher Ground vs. Forbidden Voices,SPINNIN' / EPIC AMSTERDAM,69,07,Martin Garrix Mashup
