Artista,Nome,Label,Playlists Plays,Track Position,Remix
Olivier Giacomotto,In The Dark,ATLANT REC,39,01,n/a
Adriatique & WhoMadeWho,Miracle,ROSE AVENUE,88,02,n/a
TH;EN,Aragon,EINMUSIKA,14,03,n/a
Wolfram & Josh Ludlow,YoYo Disco,DEFECTED,36,04,n/a
MANT,No Turning Back,SOLID GROOVES,29,05,n/a
Mumbai Science,Iris,DIYNAMIC,15,06,n/a
Rebūke,Along Came Polly,HOT CREATIONS,34,07,Konstantin Sibold Remix
Knorst & MeMachine,n/a,LEVELS REC,n/a,08,n/a
Vintage Culture & Tube & Berger & Kyle Pearce,Come Come,VINTAGE CULTURE,64,09,n/a
Anden,Great Beyond,ODD ONE OUT,16,10,n/a
Solee,Watoto,PARQUET,17,11,n/a
Clüb De Combat & Rex The Dog,Time (Korgasmatron Pt. II),DIYNAMIC,5,12,n/a
BRN & Screechy,Flexin,CATCH & RELEASE,14,13,n/a
Shiba San & Nautik,Drop That Shhh,BASEMENT LEAK,10,14,n/a
n/a,n/a,n/a,n/a,15,n/a
Chris Stussy,All Night Long,UP THE STUSS,49,16,n/a
Bedouin,Tijuana,HUMAN BY DEFAULT,38,17,Vintage Culture Remix
Glowal,Roda,SAPIENS,9,18,n/a
DEPARTAMENTO,n/a,n/a,n/a,19,n/a
Lauren Mia,Ashes In Paradise,EAR PORN,7,20,n/a
CamelPhat,Freak,MOON HARBOUR,54,21,Matthias Tanzmann Remix
Rose Ringed,Reconciliation,SPECTRUM MUSIC,29,22,n/a
Will Clarke & Latroit & Groove Terminator,n/a,n/a,n/a,23,n/a
Roddy Lima,n/a,n/a,n/a,24,n/a
London Grammar & CamelPhat,Higher,MINISTRY OF SOUND,96,25,n/a
Inafekt,Bamboo,CLUB BAD,20,26,n/a
NU,Who Loves The Sun,BAR 25,19,27,Rodriguez Jr. Remix
ANOTR & Abel Balder,Relax My Eyes,NO ART,233,28,n/a
Matthias Tanzmann & Black Circle,Masina,MOON HARBOUR,39,w/,n/a
Andrew Meller,Born Slippy,GLASGOW UNDERGROUND,237,29,n/a
Capricorn,20Hz,R&S,114,30,Marco Lys Remix
Caiiro & AWEN,Your Voice,MADORASINDAHOUSE,90,31,Adam Port Remix
Yet More,What Do Adults Say,RENAISSANCE,23,32,n/a
RY X,Your Love,INFECTIOUS,14,33,Agents Of Time Remix
Binary Finary,1998,ARMADA,124,34,Victor Ruiz Remix
n/a,n/a,n/a,n/a,35,n/a
RÜFÜS DU SOL,Like An Animal,SWEAT IT OUT!,107,36,Yotto Remix
Technotronic,Pump Up The Jam,EMI UK,15,37,WEIRD. Edit
Pupa Nas T & Kevin McKay & Denise Belfon,Work,GLASGOW UNDERGROUND,39,38,Draxx & CVMPANILE Remix
Jamie Jones,My Paradise,DEFECTED,315,39,Vintage Culture Remix
Leon & Shaf Huse,Can't Truss,SOLA,22,40,n/a
n/a,n/a,n/a,n/a,41,n/a
Röyksopp,Sordid Affair,DOG TRIUMPH,226,42,Maceo Plex Remix
Ticon,1987,IBOGA,12,43,n/a
Moby,My Only Love,LITTLE IDIOT,25,44,Vintage Culture Remix
Mark Knight & Funkagenda,Antidote,TOOLROOM TRAX,47,45,n/a
RÜFÜS DU SOL,Until The Sun Needs To Rise,SWEAT IT OUT!,11,46,n/a
Pryda,Animal,PRYDA,112,47,n/a
Sergiodnine,Give Me The Funk,CLOVER,3,48,n/a
Mila Journée,Secrets,DIYNAMIC,28,49,n/a
Gundamea,Sweet Disposition,ARMADA ELECTRONIC ELEMENTS,58,50,n/a
n/a,n/a,n/a,n/a,51,n/a
n/a,n/a,n/a,n/a,52,n/a
Stephan Bodzin & Marc Romboy,Callisto,SYSTEMATIC,88,53,Ben Böhmer Remix
n/a,n/a,n/a,n/a,54,n/a
Fatboy Slim,Praise You,SKINT,68,w/,n/a
London Grammar,Sights,METAL & DUST,85,55,Dennis Ferrer Remix
HIGHLITE,Otherdisco,JEAHMON!,57,56,n/a
PAX,Seven Nation Army,OFF THE KEY,10,57,n/a
New Order,Blue Monday,FACTORY (WARNER MUSIC),21,58,Freemasons Remix
